give me the flights from boston to san francisco leaving early today	give me the flights from boston to san francisco leaving early today	[IN:FLIGHT give me the flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] leaving [SL:DEPART_TIME [SL:PERIOD_MOD early ] ] [SL:DEPART_DATE [SL:TODAY_RELATIVE today ] ] ]
what type of aircraft leaves from boston to washington dc at 9 am during a weekday	what type of aircraft leaves from boston to washington dc at 9 am during a weekday	[IN:AIRCRAFT what type of aircraft leaves from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] at [SL:DEPART_TIME [SL:TIME 9 am ] ] during a [SL:FLIGHT_MOD weekday ] ]
show all flights from miami to jfk	show all flights from miami to jfk	[IN:FLIGHT show all flights from [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:AIRPORT_CODE jfk ] ] ]
i want to fly from dallas to san francisco	i want to fly from dallas to san francisco	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what is the name of the airport in philadelphia	what is the name of the airport in philadelphia	[IN:AIRPORT what is the name of the airport in [SL:CITY_NAME philadelphia ] ]
"i""d like to see flights from baltimore to atlanta"	"i""d like to see flights from baltimore to atlanta"	[IN:FLIGHT i'd like to see flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
i would like to arrange a flight from denver to pittsburgh	i would like to arrange a flight from denver to pittsburgh	[IN:FLIGHT i would like to arrange a flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
show me a list of flights from boston to dc arriving before 9 am on july twenty second	show me a list of flights from boston to dc arriving before 9 am on july twenty second	[IN:FLIGHT show me a list of flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:STATE_CODE dc ] ] arriving [SL:ARRIVE_TIME [SL:TIME_RELATIVE before ] ] [SL:ARRIVE_TIME [SL:TIME 9 am ] ] on [SL:ARRIVE_DATE [SL:MONTH_NAME july ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER twenty second ] ] ]
oakland to philadelphia saturday	oakland to philadelphia saturday	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] ]
show me all the saturday flights from pittsburgh to baltimore	show me all the saturday flights from pittsburgh to baltimore	[IN:FLIGHT show me all the [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth	list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth	[IN:FLIGHT list all [SL:ROUND_TRIP round trip ] flights from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] departing either on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] [SL:OR or ] on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty eighth ] ] ]
"show me all the flights to baltimore after 6 o""clock pm"	"show me all the flights to baltimore after 6 o""clock pm"	[IN:FLIGHT show me all the flights to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 6 o'clock pm ] ] ]
one way flights from ontario to tacoma leaving before 10 am on any day and first class	one way flights from ontario to tacoma leaving before 10 am on any day and first class	[IN:FLIGHT [SL:ROUND_TRIP one way ] flights from [SL:FROM_LOCATION [SL:CITY_NAME ontario ] ] to [SL:TO_LOCATION [SL:CITY_NAME tacoma ] ] leaving [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 10 am ] ] on any day and [SL:CLASS_TYPE first class ] ]
need a flight from pittsburgh to denver	need a flight from pittsburgh to denver	[IN:FLIGHT need a flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what flight goes from denver to baltimore first class on united airlines arriving on may seventh	what flight goes from denver to baltimore first class on united airlines arriving on may seventh	[IN:FLIGHT what flight goes from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] [SL:CLASS_TYPE first class ] on [SL:AIRLINE_NAME united airlines ] arriving on [SL:ARRIVE_DATE [SL:MONTH_NAME may ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER seventh ] ] ]
what does fare code qo mean	what does fare code qo mean	[IN:ABBREVIATION what does fare code [SL:FARE_BASIS_CODE qo ] mean ]
do you have a flight from salt lake city to st. petersburg on june second	do you have a flight from salt lake city to st. petersburg on june second	[IN:FLIGHT do you have a flight from [SL:FROM_LOCATION [SL:CITY_NAME salt lake city ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. petersburg ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER second ] ] ]
i would like to book a flight from chicago to seattle on june first	i would like to book a flight from chicago to seattle on june first	[IN:FLIGHT i would like to book a flight from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER first ] ] ]
what airlines fly from philadelphia to san francisco	what airlines fly from philadelphia to san francisco	[IN:AIRLINE what airlines fly from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
all flights to baltimore after 12 pm	all flights to baltimore after 12 pm	[IN:FLIGHT all flights to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 12 pm ] ] ]
what aircraft has the largest seating capacity	what aircraft has the largest seating capacity	[IN:AIRCRAFT what aircraft has the [SL:MOD largest ] seating capacity ]
ground transportation in las vegas	ground transportation in las vegas	[IN:GROUND_SERVICE ground transportation in [SL:CITY_NAME las vegas ] ]
"what do you have tomorrow after 5 o""clock from atlanta to san francisco"	"what do you have tomorrow after 5 o""clock from atlanta to san francisco"	[IN:FLIGHT what do you have [SL:DEPART_DATE [SL:TODAY_RELATIVE tomorrow ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 5 o'clock ] ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
ground transportation please in the city of boston between airport and downtown	ground transportation please in the city of boston between airport and downtown	[IN:GROUND_SERVICE ground transportation please in the [SL:CITY_NAME city of boston ] between airport and downtown ]
show me the cheapest fare from baltimore to dallas	show me the cheapest fare from baltimore to dallas	[IN:AIRFARE show me the [SL:COST_RELATIVE cheapest ] fare from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
i would like direct coach flights from pittsburgh to atlanta	i would like direct coach flights from pittsburgh to atlanta	[IN:FLIGHT i would like [SL:CONNECT direct ] [SL:CLASS_TYPE coach ] flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me ground transportation in denver	show me ground transportation in denver	[IN:GROUND_SERVICE show me ground transportation in [SL:CITY_NAME denver ] ]
what flights does delta have from denver to dallas after 5	what flights does delta have from denver to dallas after 5	[IN:FLIGHT what flights does [SL:AIRLINE_NAME delta ] have from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 5 ] ] ]
show me flights from philadelphia to baltimore	show me flights from philadelphia to baltimore	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
what flights do you have available from denver dallas and pittsburgh into baltimore	what flights do you have available from denver dallas and pittsburgh into baltimore	[IN:FLIGHT what flights do you have available from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] and [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] into [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
round trip fares from baltimore to philadelphia under 1000 dollars	round trip fares from baltimore to philadelphia under 1000 dollars	[IN:AIRFARE [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE under ] [SL:FARE_AMOUNT 1000 dollars ] ]
are there any flights from denver to atlanta which connect in pittsburgh	are there any flights from denver to atlanta which connect in pittsburgh	[IN:FLIGHT are there any flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] which [SL:CONNECT connect ] in [SL:STOP_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
i want to fly denver to pittsburgh	i want to fly denver to pittsburgh	[IN:FLIGHT i want to fly [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
please list all flights between boston and philadelphia operating on sundays	please list all flights between boston and philadelphia operating on sundays	[IN:FLIGHT please list all flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] operating on [SL:DEPART_DATE [SL:DAY_NAME sundays ] ] ]
show me all the northwest flights from new york to milwaukee that leave at 720 am	show me all the northwest flights from new york to milwaukee that leave at 720 am	[IN:FLIGHT show me all the [SL:AIRLINE_NAME northwest ] flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] that leave at [SL:DEPART_TIME [SL:TIME 720 am ] ] ]
what is ua	what is ua	[IN:ABBREVIATION what is [SL:AIRLINE_CODE ua ] ]
what is the ground transportation in san diego	what is the ground transportation in san diego	[IN:GROUND_SERVICE what is the ground transportation in [SL:CITY_NAME san diego ] ]
what flights from any city land at general mitchell international	what flights from any city land at general mitchell international	[IN:FLIGHT what flights from any city land at [SL:TO_LOCATION [SL:AIRPORT_NAME general mitchell international ] ] ]
"please give me a flight leaving boston going to washington arriving in washington at 5 o""clock in the afternoon"	"please give me a flight leaving boston going to washington arriving in washington at 5 o""clock in the afternoon"	[IN:FLIGHT please give me a flight leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] going to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] arriving in [SL:TO_LOCATION [SL:CITY_NAME washington ] ] at [SL:ARRIVE_TIME [SL:TIME 5 o'clock ] ] in the [SL:ARRIVE_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
"show me all flights on us airlines from boston to oakland california which leave after 11 o""clock am"	"show me all flights on us airlines from boston to oakland california which leave after 11 o""clock am"	[IN:FLIGHT show me all flights on [SL:AIRLINE_NAME us airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] [SL:TO_LOCATION [SL:STATE_NAME california ] ] which leave [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 11 o'clock am ] ] ]
i would like information on ground transportation in the city of atlanta from airport to downtown	i would like information on ground transportation in the city of atlanta from airport to downtown	[IN:GROUND_SERVICE i would like information on ground transportation in the city of [SL:CITY_NAME atlanta ] from airport to downtown ]
i need one first class ticket from dallas fort worth to san francisco	i need one first class ticket from dallas fort worth to san francisco	[IN:AIRFARE i need one [SL:CLASS_TYPE first class ] ticket from [SL:FROM_LOCATION [SL:CITY_NAME dallas fort worth ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please show me airlines with flight service from boston to denver from denver to philadelphia and from philadelphia to boston	please show me airlines with flight service from boston to denver from denver to philadelphia and from philadelphia to boston	[IN:AIRLINE please show me airlines with flight service from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] and from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
what airlines fly between boston and san francisco and stop in denver	what airlines fly between boston and san francisco and stop in denver	[IN:AIRLINE what airlines fly between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] and stop in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
show me all flights from san francisco to washington dc	show me all flights from san francisco to washington dc	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] ]
show me the flights from toronto to cincinnati	show me the flights from toronto to cincinnati	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] to [SL:TO_LOCATION [SL:CITY_NAME cincinnati ] ] ]
flights from memphis to seattle	flights from memphis to seattle	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME memphis ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] ]
do you have a delta flight to san francisco from denver on august thirtieth in the early morning	do you have a delta flight to san francisco from denver on august thirtieth in the early morning	[IN:FLIGHT do you have a [SL:AIRLINE_NAME delta ] flight to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirtieth ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY early ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
ground transportation in denver	ground transportation in denver	[IN:GROUND_SERVICE ground transportation in [SL:CITY_NAME denver ] ]
which flights go from pittsburgh to atlanta in the evening	which flights go from pittsburgh to atlanta in the evening	[IN:FLIGHT which flights go from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
show me all flights from montreal to nashville	show me all flights from montreal to nashville	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME montreal ] ] to [SL:TO_LOCATION [SL:CITY_NAME nashville ] ] ]
"i""d like to take a flight from washington dc stop in denver and with my final destination as san francisco"	"i""d like to take a flight from washington dc stop in denver and with my final destination as san francisco"	[IN:FLIGHT i'd like to take a flight from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] stop in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] and with my final destination as [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
"i want to fly from boston to denver and i don""t want any stopovers and i""d like to fly only during the afternoon"	"i want to fly from boston to denver and i don""t want any stopovers and i""d like to fly only during the afternoon"	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] and i don't want any stopovers and i'd like to fly only during the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
"i""d like an early flight tomorrow from columbus to nashville"	"i""d like an early flight tomorrow from columbus to nashville"	[IN:FLIGHT i'd like an [SL:FLIGHT_MOD early ] flight [SL:DEPART_DATE [SL:TODAY_RELATIVE tomorrow ] ] from [SL:FROM_LOCATION [SL:CITY_NAME columbus ] ] to [SL:TO_LOCATION [SL:CITY_NAME nashville ] ] ]
"list all flights from boston to atlanta after 6 o""clock pm on wednesday"	"list all flights from boston to atlanta after 6 o""clock pm on wednesday"	[IN:FLIGHT list all flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 6 o'clock pm ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] ]
"i""d like to arrange a flight from pittsburgh to atlanta"	"i""d like to arrange a flight from pittsburgh to atlanta"	[IN:FLIGHT i'd like to arrange a flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what flights are available wednesday afternoon from atlanta to san francisco	what flights are available wednesday afternoon from atlanta to san francisco	[IN:FLIGHT what flights are available [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
